,epoch,train_loss,val_loss
0,1,1629.6468949317932,0.0
1,2,1246.4947052001953,0.0
2,3,1177.4372906684875,0.0
3,4,1119.586513519287,0.0
4,5,1075.7032537460327,0.0
5,6,1035.4929466247559,0.0
6,7,1010.4952621459961,0.0
7,8,971.6951928138733,0.0
8,9,947.2446432113647,0.0
9,10,926.4245443344116,0.0
10,10,0.0,934.9433650970459
11,11,902.6557846069336,0.0
12,12,888.6138739585876,0.0
13,13,877.0113272666931,0.0
14,14,854.0856273174286,0.0
15,15,838.4314157962799,0.0
16,16,825.993635892868,0.0
17,17,822.6727185249329,0.0
18,18,809.9641320705414,0.0
19,19,787.9210097789764,0.0
20,20,781.2477416992188,0.0
21,20,0.0,813.5907006263733
22,21,773.0959892272949,0.0
23,22,753.5877978801727,0.0
24,23,753.9511818885803,0.0
25,24,740.8282558917999,0.0
26,25,736.1339180469513,0.0
27,26,721.7071399688721,0.0
28,27,720.9929165840149,0.0
29,28,715.3606564998627,0.0
30,29,704.4883954524994,0.0
31,30,700.9847829341888,0.0
32,30,0.0,729.5292861461639
33,31,686.1517825126648,0.0
34,32,690.0168542861938,0.0
35,33,680.5264461040497,0.0
36,34,674.8223967552185,0.0
37,35,678.0402724742889,0.0
38,36,666.8213405609131,0.0
39,37,660.5137612819672,0.0
40,38,655.9975674152374,0.0
41,39,659.773419380188,0.0
42,40,648.2947337627411,0.0
43,40,0.0,703.4077651500702
44,41,645.0611312389374,0.0
45,42,634.1842935085297,0.0
46,43,636.6629648208618,0.0
47,44,626.7182197570801,0.0
48,45,628.605963230133,0.0
49,46,621.53768491745,0.0
50,47,615.1695280075073,0.0
51,48,613.8822178840637,0.0
52,49,609.946412563324,0.0
53,50,606.1139268875122,0.0
54,50,0.0,691.1244435310364
55,51,605.7882161140442,0.0
56,52,597.357617855072,0.0
57,53,595.8462827205658,0.0
58,54,599.8264207839966,0.0
59,55,591.2771084308624,0.0
60,56,582.624591588974,0.0
61,57,581.6990592479706,0.0
62,58,579.6857213973999,0.0
63,59,578.4091844558716,0.0
64,60,576.8155097961426,0.0
65,60,0.0,674.1937487125397
66,61,576.3488156795502,0.0
67,62,565.0980651378632,0.0
68,63,567.0070450305939,0.0
69,64,562.2760105133057,0.0
70,65,563.9802269935608,0.0
71,66,559.8267641067505,0.0
72,67,558.1910495758057,0.0
73,68,554.102945804596,0.0
74,69,545.1331901550293,0.0
75,70,552.441169500351,0.0
76,70,0.0,665.0981869697571
77,71,550.4512844085693,0.0
78,72,547.3491096496582,0.0
79,73,545.9892957210541,0.0
80,74,547.6493058204651,0.0
81,75,538.7333331108093,0.0
82,76,533.5067443847656,0.0
83,77,529.173627614975,0.0
84,78,540.7116067409515,0.0
85,79,534.2763361930847,0.0
86,80,528.2720353603363,0.0
87,80,0.0,658.4072813987732
88,81,526.5960416793823,0.0
89,82,525.0079174041748,0.0
90,83,522.5122456550598,0.0
91,84,519.0510530471802,0.0
92,85,524.0122349262238,0.0
93,86,518.3378479480743,0.0
94,87,513.7167434692383,0.0
95,88,514.010502576828,0.0
96,89,509.9626684188843,0.0
97,90,509.7142171859741,0.0
98,90,0.0,670.5944061279297
99,91,513.5791046619415,0.0
100,92,505.10762190818787,0.0
101,93,501.5326657295227,0.0
102,94,501.65443658828735,0.0
103,95,501.74694204330444,0.0
104,96,498.1971366405487,0.0
105,97,498.36951899528503,0.0
106,98,488.74204647541046,0.0
107,99,497.4305589199066,0.0
108,100,490.63715744018555,0.0
109,100,0.0,656.3897151947021
110,101,487.93606972694397,0.0
111,102,483.4262146949768,0.0
112,103,487.5919510126114,0.0
113,104,485.58108842372894,0.0
114,105,484.5535920858383,0.0
115,106,485.5323907136917,0.0
116,107,486.5011349916458,0.0
117,108,477.51567912101746,0.0
118,109,484.55168533325195,0.0
119,110,482.10695457458496,0.0
120,110,0.0,661.6875839233398
121,111,470.21085608005524,0.0
122,112,473.677517414093,0.0
123,113,472.28227639198303,0.0
